TS	X	Y
0	3332	4165
1	4165	1666
2	4165	1666
3	4165	1666
4	4165	1666
5	833	833
6	4165	1666
7	833	833
8	4165	3332
9	3332	4165
10	833	833
11	833	833
12	4165	1666
13	2499	3332
14	2499	3332
15	4165	3332
16	4165	1666
17	4165	1666
18	2499	0
19	3332	4165
20	2499	3332
21	4165	1666
22	4165	1666
23	833	833
24	833	1666
25	833	1666
26	833	833
27	4165	1666
28	4165	3332
29	3332	4165
30	3332	4165
31	833	833
32	833	1666
33	4165	3332
34	4165	1666
35	4165	1666
36	4165	1666
37	833	1666
38	833	833
39	4165	1666
40	833	833
41	4165	1666
42	833	1666
43	833	1666
44	833	1666
45	4165	1666
46	3332	4165
47	833	833
48	4165	1666
49	2499	0
50	3332	4165
51	2499	4165
52	833	1666
53	4165	1666
54	4165	1666
55	4165	1666
56	4165	1666
57	4165	1666
58	2499	0
59	833	1666
60	4165	1666
61	833	1666
62	3332	4165
63	833	833
64	3332	4165
65	3332	4165
66	833	1666
67	4165	1666
68	4165	1666
69	833	1666
70	4165	1666
71	4165	1666
72	833	833
73	833	1666
74	2499	0
75	833	1666
76	4165	1666
77	833	1666
78	4165	1666
79	3332	4165
80	833	833
81	4165	1666
82	3332	4165
83	833	833
84	4165	1666
85	4165	3332
86	2499	3332
87	0	1666
88	833	1666
89	4165	1666
90	833	1666
91	3332	4165
92	833	833
93	833	1666
94	2499	0
95	4165	1666
96	4165	1666
97	2499	0
98	2499	0
99	2499	3332
100	833	1666
101	3332	4165
102	833	833
103	4165	1666
104	4165	1666
105	833	1666
106	833	833
107	833	1666
