TS	X	Y
0	1666	3332
1	1666	4165
2	2499	3332
3	2499	4165
4	3332	3332
5	4165	4165
6	3332	4165
7	4165	3332
8	3332	4165
9	4165	3332
10	3332	4165
11	4165	3332
12	3332	4165
13	4165	3332
14	3332	4165
15	4165	3332
16	3332	4165
17	4165	3332
18	3332	4165
19	4165	3332
20	3332	4165
21	4165	3332
22	3332	4165
23	4165	3332
24	3332	4165
25	4165	3332
26	3332	4165
27	4165	3332
28	3332	4165
29	4165	3332
30	3332	4165
31	4165	3332
32	3332	4165
33	4165	3332
34	3332	4165
35	4165	3332
36	3332	4165
37	4165	3332
38	3332	4165
39	4165	3332
40	3332	4165
41	4165	3332
42	3332	4165
43	4165	3332
44	3332	4165
45	4165	3332
46	3332	4165
47	4165	3332
48	3332	4165
49	4165	3332
50	3332	4165
51	4165	3332
52	3332	4165
53	4165	3332
54	3332	4165
55	4165	3332
56	3332	4165
57	4165	3332
58	3332	4165
59	4165	3332
60	3332	4165
61	4165	3332
62	3332	4165
63	4165	3332
64	3332	4165
65	4165	3332
66	3332	4165
67	4165	3332
68	3332	4165
69	4165	3332
70	3332	4165
71	4165	3332
72	3332	4165
73	4165	3332
74	3332	4165
75	4165	3332
76	3332	4165
77	4165	3332
78	3332	4165
79	4165	3332
80	3332	4165
81	4165	3332
82	3332	4165
83	4165	3332
84	3332	4165
85	4165	3332
86	3332	4165
87	4165	3332
88	3332	4165
89	4165	3332
90	3332	4165
91	4165	3332
92	3332	4165
93	4165	3332
94	3332	4165
95	4165	3332
96	3332	4165
97	4165	3332
98	3332	4165
99	4165	3332
100	3332	4165
101	4165	3332
102	3332	4165
103	4165	3332
104	3332	4165
105	4165	3332
106	3332	4165
107	4165	3332
