0	333	333	3	2,0.04958663206617241	4,0.3783673002403511	3,0.57204606769347631	
1	666	0	3	1,0.6936123126892874	0,0.14278325221588892	6,0.163604435094823862	
2	666	333	3	6,0.17967383071822027	7,0.7075510459601405	0,0.112775123321639223	
3	0	0	3	7,0.1794259152444188	6,0.07798401535395443	0,0.74259006940162694	
4	666	333	3	4,0.5903958594771617	5,0.22038281887240296	7,0.189221321650435345	
5	666	0	3	3,0.487031311128041	7,0.1181685741364071	6,0.39480011473555196	
6	333	333	3	2,0.22245119132803998	0,0.3172512734288562	4,0.46029753524310387	
7	0	666	3	6,0.3246127633774736	2,0.46716738212502107	7,0.208219854497505198	
8	666	333	3	4,0.43864045230729953	2,0.0607904872845365	7,0.5005690604081649	
9	333	333	3	3,0.11921590562253084	2,0.40720092294992793	4,0.4735831714275413
