0	8	4	0,3,1:0.0,5:0.0,6:1.0	1,5,0:0.0,2:0.0,5:0.0,6:1.0,7:0.0	2,5,1:1.0,3:0.0,6:0.0,7:0.0,8:0.0	3,5,2:0.0,4:0.0,7:0.0,8:1.0,9:0.0	4,3,3:0.0,8:1.0,9:0.0	5,5,0:0.0,1:1.0,6:0.0,10:0.0,11:0.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:0.0,11:1.0,12:0.0	7,8,1:0.0,2:1.0,3:0.0,6:0.0,8:0.0,11:0.0,12:0.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:0.0,9:0.0,12:1.0,13:0.0,14:0.0	9,5,3:0.0,4:0.0,8:0.0,13:0.0,14:1.0	10,5,5:0.0,6:0.0,11:1.0,15:0.0,16:0.0	11,8,5:0.0,6:0.0,7:0.0,10:0.0,12:1.0,15:0.0,16:0.0,17:0.0	12,8,6:0.0,7:0.0,8:1.0,11:0.0,13:0.0,16:0.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:0.0,12:1.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:1.0,9:0.0,13:0.0,18:0.0,19:0.0	15,5,10:0.0,11:0.0,16:1.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:1.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:0.0,18:0.0,21:0.0,22:1.0,23:0.0	18,8,12:0.0,13:0.0,14:0.0,17:0.0,19:0.0,22:0.0,23:0.0,24:1.0	19,5,13:0.0,14:0.0,18:1.0,23:0.0,24:0.0	20,3,15:0.0,16:0.0,21:1.0	21,5,15:1.0,16:0.0,17:0.0,20:0.0,22:0.0	22,5,16:1.0,17:0.0,18:0.0,21:0.0,23:0.0	23,5,17:0.0,18:0.0,19:0.0,22:1.0,24:0.0	24,3,18:1.0,19:0.0,23:0.0
1	12	8	0,3,1:0.0,5:1.0,6:0.0	1,5,0:0.0,2:0.0,5:1.0,6:0.0,7:0.0	2,5,1:0.0,3:0.0,6:0.0,7:0.0,8:1.0	3,5,2:1.0,4:0.0,7:0.0,8:0.0,9:0.0	4,3,3:1.0,8:0.0,9:0.0	5,5,0:0.0,1:0.0,6:0.0,10:0.0,11:1.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:1.0,11:0.0,12:0.0	7,8,1:0.0,2:0.0,3:0.0,6:0.0,8:0.0,11:0.0,12:0.0,13:1.0	8,8,2:0.0,3:0.0,4:1.0,7:0.0,9:0.0,12:0.0,13:0.0,14:0.0	9,5,3:0.0,4:0.0,8:1.0,13:0.0,14:0.0	10,5,5:0.0,6:0.0,11:0.0,15:0.0,16:1.0	11,8,5:0.0,6:0.0,7:0.0,10:1.0,12:0.0,15:0.0,16:0.0,17:0.0	12,8,6:0.0,7:0.0,8:1.0,11:0.0,13:0.0,16:0.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:0.0,12:1.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:0.0,9:0.0,13:1.0,18:0.0,19:0.0	15,5,10:1.0,11:0.0,16:0.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:1.0,17:0.0,20:0.0,21:0.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:0.0,18:0.0,21:0.0,22:0.0,23:1.0	18,8,12:0.0,13:0.0,14:0.0,17:0.0,19:0.0,22:0.0,23:1.0,24:0.0	19,5,13:1.0,14:0.0,18:0.0,23:0.0,24:0.0	20,3,15:0.0,16:1.0,21:0.0	21,5,15:0.0,16:0.0,17:0.0,20:1.0,22:0.0	22,5,16:0.0,17:1.0,18:0.0,21:0.0,23:0.0	23,5,17:1.0,18:0.0,19:0.0,22:0.0,24:0.0	24,3,18:0.0,19:0.0,23:1.0
2	16	8	0,3,1:1.0,5:0.0,6:0.0	1,5,0:1.0,2:0.0,5:0.0,6:0.0,7:0.0	2,5,1:0.0,3:1.0,6:0.0,7:0.0,8:0.0	3,5,2:0.0,4:1.0,7:0.0,8:0.0,9:0.0	4,3,3:1.0,8:0.0,9:0.0	5,5,0:0.0,1:0.0,6:0.0,10:0.0,11:1.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:0.0,11:1.0,12:0.0	7,8,1:0.0,2:0.0,3:0.0,6:0.0,8:0.0,11:1.0,12:0.0,13:0.0	8,8,2:0.0,3:1.0,4:0.0,7:0.0,9:0.0,12:0.0,13:0.0,14:0.0	9,5,3:0.0,4:0.0,8:0.0,13:1.0,14:0.0	10,5,5:0.0,6:0.0,11:1.0,15:0.0,16:0.0	11,8,5:0.0,6:0.0,7:1.0,10:0.0,12:0.0,15:0.0,16:0.0,17:0.0	12,8,6:1.0,7:0.0,8:0.0,11:0.0,13:0.0,16:0.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:0.0,12:0.0,14:0.0,17:1.0,18:0.0,19:0.0	14,5,8:0.0,9:0.0,13:0.0,18:0.0,19:1.0	15,5,10:0.0,11:0.0,16:0.0,20:1.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:1.0,21:0.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:1.0,18:0.0,21:0.0,22:0.0,23:0.0	18,8,12:0.0,13:1.0,14:0.0,17:0.0,19:0.0,22:0.0,23:0.0,24:0.0	19,5,13:1.0,14:0.0,18:0.0,23:0.0,24:0.0	20,3,15:1.0,16:0.0,21:0.0	21,5,15:0.0,16:1.0,17:0.0,20:0.0,22:0.0	22,5,16:0.0,17:0.0,18:0.0,21:0.0,23:1.0	23,5,17:0.0,18:0.0,19:0.0,22:0.0,24:1.0	24,3,18:0.0,19:0.0,23:1.0
3	16	12	0,3,1:1.0,5:0.0,6:0.0	1,5,0:0.0,2:1.0,5:0.0,6:0.0,7:0.0	2,5,1:0.0,3:1.0,6:0.0,7:0.0,8:0.0	3,5,2:0.0,4:0.0,7:1.0,8:0.0,9:0.0	4,3,3:0.0,8:1.0,9:0.0	5,5,0:0.0,1:0.0,6:1.0,10:0.0,11:0.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:1.0,11:0.0,12:0.0	7,8,1:0.0,2:0.0,3:0.0,6:0.0,8:0.0,11:1.0,12:0.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:0.0,9:1.0,12:0.0,13:0.0,14:0.0	9,5,3:0.0,4:0.0,8:0.0,13:0.0,14:1.0	10,5,5:0.0,6:1.0,11:0.0,15:0.0,16:0.0	11,8,5:0.0,6:1.0,7:0.0,10:0.0,12:0.0,15:0.0,16:0.0,17:0.0	12,8,6:0.0,7:1.0,8:0.0,11:0.0,13:0.0,16:0.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:1.0,12:0.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:0.0,9:0.0,13:1.0,18:0.0,19:0.0	15,5,10:0.0,11:0.0,16:1.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:0.0,22:1.0	17,8,11:0.0,12:0.0,13:0.0,16:0.0,18:0.0,21:0.0,22:0.0,23:1.0	18,8,12:0.0,13:0.0,14:0.0,17:0.0,19:0.0,22:0.0,23:0.0,24:1.0	19,5,13:0.0,14:1.0,18:0.0,23:0.0,24:0.0	20,3,15:0.0,16:1.0,21:0.0	21,5,15:0.0,16:0.0,17:0.0,20:0.0,22:1.0	22,5,16:1.0,17:0.0,18:0.0,21:0.0,23:0.0	23,5,17:0.0,18:0.0,19:0.0,22:0.0,24:1.0	24,3,18:0.0,19:0.0,23:1.0
4	8	16	0,3,1:0.0,5:0.0,6:1.0	1,5,0:0.0,2:0.0,5:1.0,6:0.0,7:0.0	2,5,1:0.0,3:0.0,6:0.0,7:1.0,8:0.0	3,5,2:1.0,4:0.0,7:0.0,8:0.0,9:0.0	4,3,3:1.0,8:0.0,9:0.0	5,5,0:0.0,1:0.0,6:0.0,10:0.0,11:1.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:0.0,11:1.0,12:0.0	7,8,1:0.0,2:0.0,3:0.0,6:0.0,8:0.0,11:0.0,12:0.0,13:1.0	8,8,2:0.0,3:0.0,4:0.0,7:0.0,9:0.0,12:0.0,13:1.0,14:0.0	9,5,3:0.0,4:0.0,8:0.0,13:1.0,14:0.0	10,5,5:1.0,6:0.0,11:0.0,15:0.0,16:0.0	11,8,5:0.0,6:0.0,7:0.0,10:0.0,12:0.0,15:0.0,16:1.0,17:0.0	12,8,6:0.0,7:0.0,8:0.0,11:0.0,13:0.0,16:0.0,17:1.0,18:0.0	13,8,7:0.0,8:0.0,9:0.0,12:1.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:0.0,9:1.0,13:0.0,18:0.0,19:0.0	15,5,10:0.0,11:1.0,16:0.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:1.0,22:0.0	17,8,11:0.0,12:1.0,13:0.0,16:0.0,18:0.0,21:0.0,22:0.0,23:0.0	18,8,12:0.0,13:1.0,14:0.0,17:0.0,19:0.0,22:0.0,23:0.0,24:0.0	19,5,13:1.0,14:0.0,18:0.0,23:0.0,24:0.0	20,3,15:0.0,16:1.0,21:0.0	21,5,15:0.0,16:0.0,17:0.0,20:0.0,22:1.0	22,5,16:1.0,17:0.0,18:0.0,21:0.0,23:0.0	23,5,17:1.0,18:0.0,19:0.0,22:0.0,24:0.0	24,3,18:0.0,19:0.0,23:1.0
5	16	4	0,3,1:0.0,5:1.0,6:0.0	1,5,0:0.0,2:0.0,5:0.0,6:1.0,7:0.0	2,5,1:0.0,3:0.0,6:0.0,7:0.0,8:1.0	3,5,2:1.0,4:0.0,7:0.0,8:0.0,9:0.0	4,3,3:0.0,8:0.0,9:1.0	5,5,0:0.0,1:1.0,6:0.0,10:0.0,11:0.0	6,8,0:0.0,1:0.0,2:1.0,5:0.0,7:0.0,10:0.0,11:0.0,12:0.0	7,8,1:1.0,2:0.0,3:0.0,6:0.0,8:0.0,11:0.0,12:0.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:1.0,9:0.0,12:0.0,13:0.0,14:0.0	9,5,3:1.0,4:0.0,8:0.0,13:0.0,14:0.0	10,5,5:0.0,6:0.0,11:1.0,15:0.0,16:0.0	11,8,5:0.0,6:0.0,7:0.0,10:0.0,12:0.0,15:0.0,16:1.0,17:0.0	12,8,6:0.0,7:0.0,8:0.0,11:0.0,13:0.0,16:1.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:1.0,12:0.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:0.0,9:0.0,13:0.0,18:1.0,19:0.0	15,5,10:0.0,11:0.0,16:1.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:0.0,22:1.0	17,8,11:0.0,12:0.0,13:0.0,16:0.0,18:0.0,21:0.0,22:1.0,23:0.0	18,8,12:0.0,13:0.0,14:0.0,17:0.0,19:0.0,22:0.0,23:0.0,24:1.0	19,5,13:1.0,14:0.0,18:0.0,23:0.0,24:0.0	20,3,15:0.0,16:1.0,21:0.0	21,5,15:1.0,16:0.0,17:0.0,20:0.0,22:0.0	22,5,16:0.0,17:0.0,18:0.0,21:1.0,23:0.0	23,5,17:0.0,18:1.0,19:0.0,22:0.0,24:0.0	24,3,18:0.0,19:0.0,23:1.0
6	12	8	0,3,1:0.0,5:0.0,6:1.0	1,5,0:0.0,2:1.0,5:0.0,6:0.0,7:0.0	2,5,1:0.0,3:1.0,6:0.0,7:0.0,8:0.0	3,5,2:1.0,4:0.0,7:0.0,8:0.0,9:0.0	4,3,3:0.0,8:1.0,9:0.0	5,5,0:0.0,1:0.0,6:0.0,10:1.0,11:0.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:0.0,11:1.0,12:0.0	7,8,1:1.0,2:0.0,3:0.0,6:0.0,8:0.0,11:0.0,12:0.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:1.0,9:0.0,12:0.0,13:0.0,14:0.0	9,5,3:1.0,4:0.0,8:0.0,13:0.0,14:0.0	10,5,5:0.0,6:0.0,11:1.0,15:0.0,16:0.0	11,8,5:0.0,6:0.0,7:0.0,10:0.0,12:0.0,15:0.0,16:1.0,17:0.0	12,8,6:0.0,7:0.0,8:0.0,11:0.0,13:0.0,16:0.0,17:1.0,18:0.0	13,8,7:1.0,8:0.0,9:0.0,12:0.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:0.0,9:1.0,13:0.0,18:0.0,19:0.0	15,5,10:0.0,11:0.0,16:1.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:1.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:1.0,18:0.0,21:0.0,22:0.0,23:0.0	18,8,12:0.0,13:0.0,14:1.0,17:0.0,19:0.0,22:0.0,23:0.0,24:0.0	19,5,13:0.0,14:0.0,18:1.0,23:0.0,24:0.0	20,3,15:1.0,16:0.0,21:0.0	21,5,15:1.0,16:0.0,17:0.0,20:0.0,22:0.0	22,5,16:0.0,17:0.0,18:0.0,21:0.0,23:1.0	23,5,17:1.0,18:0.0,19:0.0,22:0.0,24:0.0	24,3,18:1.0,19:0.0,23:0.0
7	16	4	0,3,1:1.0,5:0.0,6:0.0	1,5,0:0.0,2:0.0,5:0.0,6:0.0,7:1.0	2,5,1:0.0,3:0.0,6:0.0,7:0.0,8:1.0	3,5,2:0.0,4:0.0,7:0.0,8:0.0,9:1.0	4,3,3:1.0,8:0.0,9:0.0	5,5,0:0.0,1:0.0,6:0.0,10:1.0,11:0.0	6,8,0:0.0,1:0.0,2:0.0,5:0.0,7:0.0,10:1.0,11:0.0,12:0.0	7,8,1:0.0,2:0.0,3:1.0,6:0.0,8:0.0,11:0.0,12:0.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:0.0,9:0.0,12:1.0,13:0.0,14:0.0	9,5,3:0.0,4:0.0,8:0.0,13:0.0,14:1.0	10,5,5:0.0,6:1.0,11:0.0,15:0.0,16:0.0	11,8,5:0.0,6:1.0,7:0.0,10:0.0,12:0.0,15:0.0,16:0.0,17:0.0	12,8,6:0.0,7:1.0,8:0.0,11:0.0,13:0.0,16:0.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:0.0,12:0.0,14:1.0,17:0.0,18:0.0,19:0.0	14,5,8:0.0,9:0.0,13:1.0,18:0.0,19:0.0	15,5,10:0.0,11:0.0,16:1.0,20:0.0,21:0.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:1.0,20:0.0,21:0.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:1.0,18:0.0,21:0.0,22:0.0,23:0.0	18,8,12:0.0,13:1.0,14:0.0,17:0.0,19:0.0,22:0.0,23:0.0,24:0.0	19,5,13:1.0,14:0.0,18:0.0,23:0.0,24:0.0	20,3,15:0.0,16:1.0,21:0.0	21,5,15:0.0,16:1.0,17:0.0,20:0.0,22:0.0	22,5,16:0.0,17:1.0,18:0.0,21:0.0,23:0.0	23,5,17:0.0,18:0.0,19:0.0,22:1.0,24:0.0	24,3,18:0.0,19:0.0,23:1.0
8	4	12	0,3,1:0.0,5:0.0,6:1.0	1,5,0:0.0,2:0.0,5:0.0,6:0.0,7:1.0	2,5,1:0.0,3:0.0,6:0.0,7:0.0,8:1.0	3,5,2:0.0,4:1.0,7:0.0,8:0.0,9:0.0	4,3,3:1.0,8:0.0,9:0.0	5,5,0:0.0,1:0.0,6:0.0,10:1.0,11:0.0	6,8,0:0.0,1:0.0,2:1.0,5:0.0,7:0.0,10:0.0,11:0.0,12:0.0	7,8,1:0.0,2:0.0,3:0.0,6:0.0,8:0.0,11:0.0,12:1.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:0.0,9:0.0,12:0.0,13:0.0,14:1.0	9,5,3:0.0,4:0.0,8:0.0,13:1.0,14:0.0	10,5,5:0.0,6:0.0,11:1.0,15:0.0,16:0.0	11,8,5:0.0,6:1.0,7:0.0,10:0.0,12:0.0,15:0.0,16:0.0,17:0.0	12,8,6:1.0,7:0.0,8:0.0,11:0.0,13:0.0,16:0.0,17:0.0,18:0.0	13,8,7:0.0,8:0.0,9:0.0,12:0.0,14:0.0,17:1.0,18:0.0,19:0.0	14,5,8:0.0,9:1.0,13:0.0,18:0.0,19:0.0	15,5,10:1.0,11:0.0,16:0.0,20:0.0,21:0.0	16,8,10:1.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:0.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:0.0,18:0.0,21:0.0,22:1.0,23:0.0	18,8,12:0.0,13:0.0,14:0.0,17:1.0,19:0.0,22:0.0,23:0.0,24:0.0	19,5,13:0.0,14:0.0,18:0.0,23:0.0,24:1.0	20,3,15:0.0,16:0.0,21:1.0	21,5,15:0.0,16:1.0,17:0.0,20:0.0,22:0.0	22,5,16:0.0,17:0.0,18:0.0,21:1.0,23:0.0	23,5,17:1.0,18:0.0,19:0.0,22:0.0,24:0.0	24,3,18:0.0,19:1.0,23:0.0
9	4	4	0,3,1:0.0,5:0.0,6:1.0	1,5,0:0.0,2:0.0,5:0.0,6:1.0,7:0.0	2,5,1:0.0,3:0.0,6:1.0,7:0.0,8:0.0	3,5,2:0.0,4:0.0,7:0.0,8:1.0,9:0.0	4,3,3:1.0,8:0.0,9:0.0	5,5,0:1.0,1:0.0,6:0.0,10:0.0,11:0.0	6,8,0:0.0,1:0.0,2:0.0,5:1.0,7:0.0,10:0.0,11:0.0,12:0.0	7,8,1:0.0,2:0.0,3:0.0,6:1.0,8:0.0,11:0.0,12:0.0,13:0.0	8,8,2:0.0,3:0.0,4:0.0,7:0.0,9:0.0,12:0.0,13:1.0,14:0.0	9,5,3:0.0,4:0.0,8:0.0,13:1.0,14:0.0	10,5,5:0.0,6:0.0,11:0.0,15:1.0,16:0.0	11,8,5:0.0,6:1.0,7:0.0,10:0.0,12:0.0,15:0.0,16:0.0,17:0.0	12,8,6:0.0,7:0.0,8:0.0,11:0.0,13:0.0,16:0.0,17:0.0,18:1.0	13,8,7:0.0,8:1.0,9:0.0,12:0.0,14:0.0,17:0.0,18:0.0,19:0.0	14,5,8:1.0,9:0.0,13:0.0,18:0.0,19:0.0	15,5,10:0.0,11:0.0,16:0.0,20:0.0,21:1.0	16,8,10:0.0,11:0.0,12:0.0,15:0.0,17:0.0,20:0.0,21:1.0,22:0.0	17,8,11:0.0,12:0.0,13:0.0,16:0.0,18:0.0,21:0.0,22:0.0,23:1.0	18,8,12:0.0,13:0.0,14:0.0,17:1.0,19:0.0,22:0.0,23:0.0,24:0.0	19,5,13:0.0,14:0.0,18:0.0,23:0.0,24:1.0	20,3,15:1.0,16:0.0,21:0.0	21,5,15:0.0,16:1.0,17:0.0,20:0.0,22:0.0	22,5,16:0.0,17:1.0,18:0.0,21:0.0,23:0.0	23,5,17:0.0,18:0.0,19:0.0,22:1.0,24:0.0	24,3,18:0.0,19:1.0,23:0.0
