EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	74	-8	895049.8551495558	0.0	6	[(1000, 0), (0, 0), (1000, 0), (0, 0), (0, 1000), (0, 0), (1000, 0), (2000, 1000), (1000, 1000), (0, 2000), (1000, 2000), (1000, 1000), (1000, 0), (0, 1000), (1000, 2000), (2000, 1000), (1000, 1000), (2000, 2000), (2000, 3000), (1000, 4000), (1000, 5000), (2000, 5000), (2000, 4000), (3000, 3000), (2000, 2000), (2000, 1000), (3000, 0), (4000, 0), (3000, 1000), (2000, 1000), (3000, 1000), (4000, 1000), (5000, 0), (4000, 0), (5000, 0), (6000, 0), (5000, 1000), (4000, 2000), (4000, 3000), (5000, 2000), (6000, 1000), (5000, 1000), (4000, 2000), (4000, 1000), (5000, 2000), (4000, 2000), (4000, 1000), (5000, 1000), (4000, 0), (3000, 1000), (4000, 0), (3000, 0), (4000, 0), (3000, 0), (4000, 1000), (3000, 2000)]
2	74	14	863588.9603929567	0.0	8	[(0, 1000), (1000, 2000), (0, 2000), (1000, 2000), (0, 3000), (1000, 4000), (1000, 5000), (2000, 4000), (3000, 5000), (4000, 5000), (4000, 4000), (5000, 5000), (5000, 6000), (4000, 5000), (4000, 6000), (5000, 5000), (5000, 6000), (4000, 5000), (4000, 4000), (3000, 4000), (2000, 3000), (3000, 2000), (2000, 1000), (3000, 0), (2000, 1000), (2000, 0), (2000, 1000), (3000, 2000), (4000, 2000), (5000, 3000), (6000, 4000), (6000, 3000), (5000, 4000), (4000, 4000), (3000, 4000), (4000, 5000), (5000, 6000), (4000, 6000), (5000, 6000), (6000, 5000), (6000, 4000), (6000, 5000), (5000, 5000), (6000, 6000), (5000, 5000), (6000, 4000), (6000, 5000), (5000, 4000), (4000, 3000), (5000, 3000), (6000, 4000)]
3	74	-30	863588.9603929567	0.0	4	[(1000, 0), (0, 1000), (1000, 1000), (0, 0), (0, 1000), (1000, 2000), (2000, 1000), (1000, 2000), (1000, 3000), (2000, 4000), (1000, 5000), (1000, 6000), (0, 5000), (1000, 4000), (2000, 5000), (2000, 6000), (1000, 5000), (0, 6000), (0, 5000), (0, 6000), (1000, 5000), (0, 4000), (1000, 3000), (0, 3000), (1000, 2000), (0, 3000), (0, 2000), (0, 1000), (1000, 0), (1000, 1000), (2000, 2000), (2000, 3000), (1000, 2000), (1000, 1000), (2000, 2000), (2000, 1000), (1000, 2000), (1000, 1000), (2000, 0), (1000, 1000), (2000, 0), (1000, 1000), (2000, 1000), (1000, 1000), (1000, 2000), (2000, 2000), (2000, 1000), (2000, 0), (3000, 0), (2000, 1000), (2000, 2000)]
4	74	-52	884619.4077712563	0.0	2	[(1000, 1000), (1000, 0), (2000, 1000), (1000, 1000), (1000, 0), (1000, 1000), (2000, 1000), (3000, 0), (2000, 0), (1000, 0), (2000, 1000), (1000, 0), (2000, 1000), (3000, 2000), (2000, 2000), (3000, 3000), (2000, 3000), (3000, 2000), (2000, 2000), (1000, 2000), (0, 3000), (1000, 4000), (0, 3000), (1000, 3000), (0, 2000), (1000, 1000), (1000, 0), (1000, 1000), (2000, 0), (2000, 1000), (2000, 2000), (3000, 1000), (3000, 2000), (2000, 2000), (1000, 1000), (0, 1000), (0, 2000), (1000, 2000), (1000, 3000), (2000, 2000), (3000, 1000), (2000, 0), (1000, 1000), (2000, 1000), (1000, 2000), (2000, 2000), (2000, 3000), (2000, 2000), (2000, 3000), (1000, 3000), (2000, 2000), (1000, 1000), (0, 0), (1000, 0)]
5	74	14	836665.0788387056	0.0	8	[(1000, 0), (2000, 1000), (1000, 1000), (1000, 2000), (2000, 3000), (1000, 2000), (2000, 3000), (3000, 4000), (4000, 4000), (5000, 5000), (6000, 4000), (6000, 5000), (5000, 5000), (6000, 4000), (6000, 3000), (6000, 2000), (6000, 3000), (5000, 4000), (4000, 4000), (3000, 4000), (4000, 4000), (5000, 5000), (5000, 6000), (6000, 6000), (6000, 5000), (5000, 5000), (5000, 4000), (6000, 4000), (5000, 5000), (5000, 6000), (5000, 5000), (6000, 4000), (5000, 3000), (4000, 3000), (4000, 4000), (3000, 3000), (4000, 4000), (5000, 3000), (5000, 2000), (4000, 3000), (5000, 4000), (5000, 3000), (5000, 2000), (6000, 3000), (6000, 2000), (5000, 1000), (4000, 1000), (5000, 1000), (6000, 1000), (5000, 2000), (6000, 3000)]
6	74	-19	852480.3025278554	0.0	5	[(0, 1000), (1000, 1000), (0, 2000), (0, 1000), (0, 2000), (1000, 2000), (2000, 1000), (3000, 2000), (4000, 2000), (4000, 3000), (4000, 4000), (4000, 5000), (5000, 6000), (4000, 5000), (4000, 4000), (4000, 3000), (5000, 3000), (5000, 2000), (6000, 3000), (5000, 4000), (5000, 5000), (4000, 5000), (3000, 4000), (3000, 5000), (3000, 4000), (4000, 5000), (5000, 6000), (4000, 6000), (5000, 6000), (6000, 6000), (6000, 5000), (5000, 5000), (6000, 6000), (5000, 6000), (4000, 6000), (5000, 5000), (6000, 6000), (6000, 5000), (5000, 4000), (4000, 5000), (3000, 5000), (4000, 5000), (5000, 4000), (5000, 5000), (4000, 4000), (3000, 3000), (4000, 2000), (4000, 1000), (3000, 0), (2000, 0), (2000, 1000), (1000, 1000), (0, 0)]
7	74	-30	740417.315730203	0.0	4	[(0, 1000), (1000, 0), (2000, 1000), (3000, 1000), (4000, 2000), (3000, 2000), (2000, 1000), (1000, 1000), (2000, 2000), (1000, 1000), (1000, 2000), (0, 2000), (0, 3000), (0, 2000), (0, 1000), (0, 0), (0, 1000), (1000, 1000), (2000, 1000), (3000, 1000), (2000, 1000), (2000, 2000), (1000, 2000), (0, 1000), (1000, 0), (1000, 1000), (2000, 1000), (2000, 2000), (3000, 1000), (3000, 0), (2000, 0), (3000, 0), (3000, 1000), (4000, 1000), (5000, 1000), (5000, 0), (4000, 1000), (4000, 2000), (5000, 2000), (5000, 1000), (4000, 0), (3000, 0), (2000, 0), (1000, 0), (2000, 0), (3000, 0), (4000, 1000)]
8	74	3	830941.1972844541	0.0	7	[(0, 1000), (1000, 0), (2000, 0), (1000, 0), (2000, 0), (3000, 1000), (4000, 1000), (5000, 0), (6000, 1000), (6000, 0), (5000, 0), (6000, 0), (6000, 1000), (5000, 2000), (5000, 1000), (4000, 0), (3000, 1000), (4000, 0), (4000, 1000), (3000, 1000), (4000, 0), (5000, 0), (6000, 0), (6000, 1000), (6000, 2000), (5000, 2000), (6000, 1000), (5000, 1000), (4000, 2000), (3000, 1000), (4000, 1000), (3000, 0), (4000, 1000), (3000, 2000), (4000, 2000), (4000, 3000), (4000, 4000), (4000, 3000), (4000, 2000), (3000, 2000), (4000, 2000), (3000, 2000), (3000, 3000), (3000, 2000), (4000, 3000), (5000, 3000), (6000, 3000), (5000, 3000), (4000, 3000), (4000, 2000), (4000, 1000), (5000, 0), (6000, 0)]
9	74	-42	751695.526217005	0.0	3	[(1000, 0), (2000, 0), (1000, 1000), (2000, 2000), (3000, 3000), (2000, 2000), (2000, 1000), (1000, 0), (0, 1000), (1000, 1000), (1000, 2000), (1000, 1000), (2000, 2000), (2000, 1000), (1000, 2000), (0, 1000), (1000, 2000), (0, 1000), (0, 0), (1000, 1000), (1000, 0), (2000, 0), (1000, 0), (0, 0), (0, 1000), (1000, 1000), (0, 2000), (0, 3000), (0, 2000), (1000, 2000), (0, 1000), (0, 2000), (1000, 3000), (2000, 4000), (3000, 4000), (3000, 5000), (4000, 6000), (5000, 5000), (6000, 6000), (6000, 5000), (5000, 5000), (6000, 6000), (6000, 5000), (6000, 6000)]
10	74	-41	794265.0788387056	0.0	3	[(0, 1000), (1000, 1000), (0, 0), (1000, 1000), (2000, 1000), (2000, 2000), (2000, 3000), (1000, 4000), (2000, 4000), (1000, 5000), (0, 5000), (1000, 5000), (1000, 4000), (0, 5000), (0, 4000), (0, 5000), (0, 6000), (1000, 5000), (1000, 6000), (0, 5000), (1000, 6000), (0, 6000), (1000, 5000), (2000, 5000), (1000, 5000), (0, 5000), (1000, 4000), (2000, 3000), (3000, 3000), (3000, 4000), (4000, 3000), (4000, 2000), (3000, 1000), (3000, 2000), (4000, 2000), (5000, 3000), (5000, 4000), (6000, 5000), (6000, 6000), (5000, 5000), (6000, 4000), (5000, 3000), (6000, 2000), (5000, 3000), (4000, 4000), (5000, 3000), (5000, 2000)]
