EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	36	71	306455.2306685678	0.0	10	[(833, 833), (0, 833), (833, 833), (1666, 0), (1666, 833), (2499, 0), (3332, 0), (3332, 833), (2499, 0), (1666, 0), (833, 0), (0, 0), (833, 0), (833, 833), (0, 833), (0, 1666), (0, 2499), (0, 1666), (833, 833), (833, 1666), (833, 2499), (1666, 1666), (2499, 2499)]
2	54	43	519601.78000407375	0.0	9	[(833, 0), (0, 833), (833, 0), (1666, 0), (2499, 0), (2499, 833), (3332, 833), (4165, 0), (3332, 833), (4165, 833), (3332, 0), (4165, 0), (3332, 0), (3332, 833), (2499, 833), (3332, 833), (3332, 0), (4165, 0), (4165, 833), (3332, 1666), (4165, 1666), (3332, 2499), (2499, 2499), (3332, 1666), (4165, 1666), (4165, 2499), (3332, 2499), (4165, 3332), (4165, 4165), (3332, 3332), (2499, 3332), (2499, 2499), (1666, 1666), (2499, 2499), (2499, 1666), (1666, 833), (2499, 0), (2499, 833), (1666, 1666)]
3	45	62	430688.10533632076	0.0	10	[(833, 0), (1666, 833), (2499, 833), (1666, 833), (1666, 1666), (2499, 1666), (2499, 833), (3332, 833), (3332, 1666), (2499, 1666), (1666, 1666), (833, 833), (1666, 833), (2499, 1666), (1666, 1666), (1666, 2499), (2499, 1666), (3332, 833), (3332, 0), (4165, 833), (4165, 1666), (3332, 2499), (3332, 1666), (2499, 2499), (2499, 3332), (2499, 4165), (1666, 4165), (1666, 3332), (2499, 3332), (3332, 2499), (2499, 2499), (1666, 1666), (833, 833)]
4	35	71	304456.0306685677	0.0	10	[(833, 0), (0, 0), (833, 0), (0, 833), (833, 0), (1666, 0), (1666, 833), (833, 833), (1666, 1666), (2499, 1666), (3332, 1666), (4165, 2499), (3332, 1666), (3332, 833), (3332, 1666), (2499, 1666), (3332, 833), (3332, 1666), (3332, 2499), (3332, 1666), (4165, 833), (4165, 1666), (4165, 833)]
5	39	69	396971.49867101194	0.0	10	[(833, 0), (1666, 0), (2499, 833), (1666, 1666), (833, 833), (1666, 0), (1666, 833), (2499, 0), (3332, 833), (2499, 1666), (1666, 833), (833, 1666), (0, 1666), (0, 833), (833, 833), (0, 833), (833, 1666), (0, 1666), (833, 1666), (0, 2499), (833, 3332), (1666, 2499), (1666, 1666), (833, 1666), (1666, 2499), (2499, 1666), (2499, 2499), (3332, 1666)]
6	54	20	457934.41733795014	0.0	7	[(0, 833), (833, 0), (0, 0), (833, 833), (0, 1666), (0, 833), (833, 833), (0, 833), (0, 0), (0, 833), (833, 0), (0, 833), (833, 1666), (833, 833), (1666, 1666), (833, 2499), (1666, 1666), (1666, 2499), (2499, 3332), (1666, 2499), (1666, 3332), (833, 3332), (1666, 3332), (2499, 4165), (3332, 3332), (2499, 2499), (1666, 3332), (833, 4165), (1666, 3332), (833, 3332), (1666, 3332)]
7	39	68	339083.4680024442	0.0	10	[(833, 0), (0, 0), (833, 0), (1666, 833), (833, 833), (0, 833), (0, 0), (833, 833), (1666, 0), (2499, 833), (1666, 833), (2499, 833), (3332, 0), (4165, 0), (3332, 0), (3332, 833), (2499, 0), (1666, 833), (833, 833), (833, 1666), (0, 833), (833, 1666), (1666, 1666), (2499, 1666), (3332, 1666)]
8	29	79	345863.34267019713	0.0	10	[(833, 0), (0, 833), (0, 0), (833, 833), (1666, 1666), (833, 833), (1666, 1666), (2499, 2499), (1666, 3332), (1666, 2499), (833, 1666), (0, 833), (833, 833), (1666, 0), (1666, 833), (2499, 1666), (3332, 1666), (3332, 2499), (3332, 3332), (4165, 2499), (4165, 1666), (3332, 1666), (3332, 2499), (4165, 1666), (3332, 1666), (3332, 833)]
9	54	41	435789.298671012	0.0	9	[(833, 833), (0, 833), (833, 833), (1666, 833), (833, 0), (1666, 0), (833, 833), (0, 0), (833, 0), (0, 0), (833, 0), (1666, 833), (1666, 0), (1666, 833), (2499, 0), (3332, 0), (4165, 833), (3332, 1666), (2499, 2499), (3332, 1666), (4165, 833), (3332, 0), (4165, 833), (3332, 833), (2499, 1666), (3332, 833), (3332, 1666), (2499, 1666), (3332, 833)]
10	41	66	360882.70533632074	0.0	10	[(833, 0), (0, 833), (0, 0), (0, 833), (833, 833), (0, 833), (0, 1666), (833, 2499), (833, 3332), (0, 2499), (833, 2499), (1666, 2499), (2499, 3332), (1666, 4165), (2499, 3332), (3332, 3332), (3332, 2499), (3332, 1666), (2499, 1666), (3332, 2499), (4165, 3332), (4165, 2499), (3332, 1666), (2499, 833), (2499, 0), (1666, 833)]
11	54	21	524087.29867101193	0.0	7	[(0, 833), (0, 1666), (833, 1666), (1666, 1666), (1666, 2499), (833, 3332), (833, 2499), (1666, 3332), (833, 2499), (833, 1666), (0, 1666), (833, 1666), (0, 1666), (0, 2499), (0, 1666), (833, 2499), (833, 3332), (1666, 4165), (833, 4165), (0, 3332), (833, 3332), (1666, 4165), (833, 3332), (0, 4165), (833, 4165), (1666, 3332), (1666, 2499), (1666, 3332), (833, 2499), (0, 1666), (833, 2499), (1666, 1666), (833, 1666), (833, 833), (1666, 833), (1666, 0), (833, 833), (833, 1666), (1666, 2499)]
12	29	78	297087.58666938246	0.0	10	[(0, 833), (833, 0), (0, 833), (833, 833), (833, 1666), (1666, 833), (1666, 0), (833, 833), (1666, 1666), (833, 1666), (0, 833), (833, 833), (0, 833), (833, 1666), (1666, 833), (833, 833), (833, 0), (1666, 833), (2499, 833), (3332, 1666), (3332, 833), (2499, 833)]
13	41	65	347426.149335506	0.0	10	[(0, 833), (0, 1666), (833, 2499), (0, 2499), (0, 3332), (833, 4165), (0, 4165), (833, 3332), (0, 3332), (833, 4165), (0, 4165), (0, 3332), (0, 2499), (0, 1666), (833, 833), (0, 1666), (833, 2499), (0, 2499), (0, 3332), (833, 3332), (833, 2499), (1666, 2499), (2499, 1666), (1666, 1666), (2499, 1666), (2499, 833)]
14	54	31	311465.9120016296	0.0	8	[(833, 0), (0, 0), (0, 833), (0, 1666), (833, 2499), (0, 3332), (833, 2499), (0, 1666), (0, 833), (0, 0), (0, 833), (0, 1666), (833, 833), (0, 833), (833, 833), (0, 833), (833, 833), (1666, 0), (2499, 0), (3332, 0)]
15	21	86	214658.6306685677	0.0	10	[(833, 0), (1666, 0), (1666, 833), (2499, 833), (1666, 1666), (833, 1666), (0, 1666), (0, 2499), (0, 1666), (833, 833), (1666, 833), (2499, 0), (1666, 833), (2499, 0), (3332, 833), (4165, 1666)]
16	54	42	630751.0853403944	0.0	9	[(833, 833), (1666, 833), (833, 1666), (0, 2499), (833, 1666), (1666, 833), (833, 0), (1666, 0), (1666, 833), (1666, 0), (833, 833), (0, 0), (0, 833), (0, 1666), (833, 2499), (0, 3332), (833, 4165), (1666, 4165), (2499, 3332), (2499, 4165), (3332, 3332), (2499, 2499), (1666, 1666), (2499, 833), (1666, 1666), (2499, 2499), (2499, 1666), (1666, 2499), (1666, 1666), (2499, 2499), (2499, 1666), (3332, 2499), (3332, 3332), (4165, 4165), (3332, 3332), (4165, 3332), (4165, 2499), (3332, 2499), (3332, 3332), (2499, 3332), (2499, 4165), (3332, 3332), (2499, 3332), (2499, 4165), (3332, 3332), (4165, 2499)]
17	54	42	524228.5360048885	0.0	9	[(833, 0), (0, 833), (833, 0), (1666, 0), (833, 0), (0, 833), (0, 1666), (0, 2499), (833, 1666), (833, 833), (1666, 0), (1666, 833), (833, 0), (0, 833), (833, 833), (833, 1666), (833, 833), (833, 1666), (1666, 1666), (1666, 2499), (833, 3332), (1666, 4165), (833, 3332), (1666, 2499), (833, 3332), (1666, 3332), (833, 4165), (1666, 4165), (833, 3332), (1666, 3332), (2499, 2499), (2499, 1666), (3332, 1666), (2499, 1666), (3332, 2499), (2499, 3332), (3332, 3332), (4165, 4165)]
18	21	87	219144.14933550596	0.0	10	[(833, 0), (1666, 833), (2499, 0), (3332, 833), (2499, 1666), (2499, 833), (1666, 833), (1666, 1666), (833, 2499), (0, 3332), (833, 2499), (1666, 2499), (833, 3332), (833, 2499), (0, 2499), (0, 1666)]
19	24	84	247286.8680024442	0.0	10	[(0, 833), (0, 0), (833, 833), (1666, 1666), (2499, 2499), (3332, 1666), (2499, 1666), (1666, 1666), (2499, 2499), (2499, 1666), (2499, 2499), (1666, 1666), (833, 1666), (0, 833), (833, 0), (1666, 833), (2499, 833), (2499, 0)]
20	29	78	212851.39333469124	0.0	10	[(833, 833), (833, 0), (1666, 0), (833, 833), (0, 833), (833, 0), (0, 833), (833, 833), (833, 1666), (1666, 833), (2499, 833), (3332, 833), (4165, 833), (4165, 1666), (3332, 1666)]
21	54	42	484282.5800040738	0.0	9	[(833, 833), (0, 1666), (833, 833), (833, 0), (1666, 833), (833, 833), (1666, 833), (2499, 0), (1666, 0), (833, 0), (1666, 833), (1666, 1666), (1666, 2499), (2499, 1666), (1666, 1666), (833, 833), (0, 1666), (833, 1666), (0, 1666), (833, 833), (833, 0), (0, 833), (833, 833), (1666, 1666), (2499, 2499), (3332, 3332), (4165, 3332), (3332, 3332), (4165, 4165), (4165, 3332), (4165, 4165), (3332, 4165), (4165, 4165), (4165, 3332), (4165, 4165)]
22	54	21	400046.38666938257	0.0	7	[(0, 833), (833, 1666), (833, 833), (833, 0), (1666, 833), (833, 833), (833, 0), (1666, 833), (833, 0), (833, 833), (0, 0), (833, 0), (0, 0), (833, 0), (833, 833), (0, 833), (0, 0), (833, 833), (1666, 0), (1666, 833), (833, 0), (0, 0), (833, 0), (0, 833), (833, 833), (1666, 0), (833, 0), (0, 0)]
23	54	32	453025.1866693825	0.0	8	[(833, 0), (0, 0), (833, 0), (833, 833), (0, 1666), (833, 833), (1666, 0), (833, 0), (0, 0), (833, 0), (1666, 0), (2499, 0), (3332, 0), (3332, 833), (2499, 833), (1666, 833), (1666, 1666), (833, 2499), (1666, 1666), (1666, 833), (1666, 0), (833, 833), (0, 833), (0, 0), (833, 833), (833, 1666), (1666, 833), (1666, 1666), (833, 833), (833, 0), (0, 833), (833, 833), (833, 1666), (833, 833)]
24	42	64	398483.5800040737	0.0	10	[(833, 0), (1666, 0), (1666, 833), (2499, 833), (1666, 833), (2499, 1666), (2499, 2499), (1666, 2499), (833, 3332), (1666, 2499), (1666, 3332), (1666, 4165), (833, 3332), (1666, 2499), (2499, 1666), (1666, 1666), (2499, 833), (1666, 833), (2499, 1666), (1666, 833), (2499, 0), (1666, 833), (2499, 0), (3332, 833), (2499, 833), (1666, 0), (1666, 833), (833, 1666)]
25	54	20	386872.3053363208	0.0	7	[(0, 833), (833, 833), (1666, 0), (1666, 833), (833, 0), (1666, 833), (833, 0), (1666, 0), (1666, 833), (1666, 1666), (1666, 833), (833, 1666), (1666, 2499), (833, 3332), (0, 4165), (833, 4165), (833, 3332), (833, 2499), (1666, 3332), (833, 4165), (833, 3332), (0, 3332), (0, 2499), (0, 3332), (833, 2499), (0, 2499)]
26	54	43	506427.69867101195	0.0	9	[(0, 833), (833, 1666), (0, 1666), (833, 833), (833, 1666), (0, 2499), (0, 1666), (0, 2499), (833, 3332), (1666, 3332), (2499, 3332), (3332, 4165), (4165, 3332), (3332, 2499), (4165, 1666), (4165, 833), (4165, 1666), (4165, 833), (3332, 0), (3332, 833), (3332, 1666), (2499, 1666), (1666, 2499), (2499, 2499), (1666, 2499), (833, 1666), (0, 2499), (833, 3332), (833, 2499), (1666, 3332), (833, 3332), (0, 3332), (833, 3332), (0, 3332), (833, 2499), (833, 1666), (1666, 833)]
27	54	42	479797.06133713544	0.0	9	[(833, 0), (0, 0), (833, 0), (1666, 833), (2499, 0), (1666, 0), (1666, 833), (833, 833), (1666, 0), (1666, 833), (833, 0), (833, 833), (1666, 1666), (833, 1666), (0, 1666), (833, 1666), (0, 833), (833, 833), (1666, 833), (1666, 1666), (833, 833), (1666, 833), (833, 1666), (0, 833), (833, 1666), (833, 2499), (1666, 3332), (2499, 4165), (3332, 4165), (4165, 4165), (3332, 3332), (4165, 4165), (4165, 3332), (4165, 2499), (4165, 1666)]
28	53	55	433648.86133713543	0.0	10	[(833, 833), (0, 0), (833, 0), (1666, 0), (833, 833), (833, 0), (0, 833), (0, 1666), (0, 2499), (0, 1666), (0, 833), (0, 0), (833, 833), (1666, 0), (833, 0), (833, 833), (0, 0), (833, 833), (0, 0), (833, 833), (0, 1666), (833, 833), (833, 0), (0, 833), (833, 833), (1666, 833), (2499, 833), (3332, 0), (3332, 833), (3332, 1666)]
