EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	52	56	484769.69867101195	0.0	10	[(0, 833), (833, 1666), (1666, 833), (2499, 0), (3332, 833), (4165, 833), (3332, 0), (3332, 833), (4165, 1666), (3332, 2499), (2499, 3332), (3332, 2499), (4165, 3332), (4165, 2499), (4165, 1666), (3332, 833), (3332, 1666), (2499, 2499), (1666, 2499), (833, 3332), (1666, 4165), (1666, 3332), (833, 3332), (1666, 3332), (833, 3332), (0, 4165), (833, 4165), (0, 4165), (0, 3332), (0, 4165), (0, 3332), (0, 2499), (833, 2499), (1666, 2499), (2499, 1666)]
2	54	21	515681.21067264146	0.0	7	[(833, 833), (1666, 1666), (2499, 1666), (3332, 833), (2499, 0), (3332, 0), (3332, 833), (4165, 1666), (3332, 2499), (4165, 1666), (3332, 833), (2499, 1666), (3332, 2499), (4165, 3332), (3332, 4165), (4165, 4165), (4165, 3332), (3332, 4165), (2499, 4165), (3332, 3332), (4165, 3332), (3332, 4165), (4165, 3332), (4165, 4165), (3332, 3332), (4165, 3332), (3332, 4165), (4165, 3332), (4165, 2499), (3332, 3332), (4165, 3332), (3332, 2499), (4165, 2499), (3332, 3332), (2499, 3332)]
3	54	22	395702.1053363209	0.0	7	[(833, 0), (0, 0), (0, 833), (0, 0), (833, 833), (0, 833), (833, 833), (0, 0), (833, 833), (0, 0), (0, 833), (833, 0), (0, 833), (833, 833), (0, 833), (0, 0), (833, 833), (0, 0), (0, 833), (0, 1666), (833, 2499), (1666, 1666), (833, 833), (833, 0), (0, 0), (833, 0), (1666, 0)]
4	54	44	586319.6106726412	0.0	9	[(833, 0), (0, 833), (833, 833), (833, 1666), (1666, 833), (833, 833), (1666, 0), (833, 833), (0, 1666), (833, 2499), (0, 2499), (833, 2499), (1666, 3332), (2499, 4165), (2499, 3332), (3332, 3332), (3332, 4165), (4165, 4165), (3332, 4165), (2499, 3332), (1666, 4165), (2499, 4165), (1666, 4165), (833, 4165), (1666, 3332), (1666, 2499), (2499, 1666), (2499, 2499), (2499, 3332), (3332, 4165), (2499, 3332), (3332, 3332), (2499, 4165), (3332, 3332), (2499, 2499), (2499, 1666), (1666, 833), (1666, 0), (833, 833), (1666, 0), (2499, 833), (3332, 0), (2499, 0)]
5	26	83	273571.62400325894	0.0	10	[(0, 833), (833, 0), (1666, 833), (2499, 0), (3332, 0), (2499, 0), (2499, 833), (2499, 0), (3332, 833), (2499, 1666), (3332, 2499), (4165, 1666), (3332, 2499), (4165, 1666), (3332, 2499), (4165, 1666), (3332, 1666), (3332, 833), (2499, 1666)]
6	41	68	387513.3426701972	0.0	10	[(833, 833), (1666, 0), (2499, 0), (1666, 0), (1666, 833), (833, 0), (1666, 0), (2499, 833), (2499, 0), (2499, 833), (1666, 1666), (1666, 833), (833, 0), (1666, 0), (833, 833), (833, 0), (1666, 0), (2499, 833), (3332, 833), (3332, 1666), (2499, 1666), (3332, 2499), (4165, 2499), (4165, 3332), (3332, 2499), (2499, 1666), (1666, 833), (833, 1666)]
7	54	43	364585.9493355061	0.0	9	[(833, 833), (0, 833), (833, 1666), (833, 833), (1666, 1666), (1666, 2499), (833, 3332), (833, 2499), (1666, 3332), (833, 4165), (1666, 4165), (2499, 4165), (2499, 3332), (2499, 2499), (2499, 1666), (1666, 1666), (2499, 833), (2499, 0), (3332, 0), (2499, 0), (3332, 0), (4165, 0), (3332, 0), (4165, 0), (3332, 833)]
8	54	33	488768.098671012	0.0	8	[(0, 833), (833, 1666), (0, 833), (0, 1666), (833, 1666), (0, 2499), (833, 2499), (1666, 2499), (833, 1666), (0, 1666), (833, 1666), (1666, 2499), (833, 1666), (833, 833), (833, 0), (0, 0), (0, 833), (833, 833), (0, 1666), (833, 833), (1666, 833), (833, 0), (833, 833), (1666, 0), (2499, 0), (1666, 833), (2499, 0), (1666, 833), (833, 833), (833, 1666), (1666, 1666), (1666, 2499), (833, 1666), (1666, 2499), (833, 1666)]
9	54	34	404531.90533632087	0.0	8	[(833, 833), (1666, 833), (2499, 833), (3332, 833), (4165, 833), (4165, 1666), (4165, 833), (3332, 833), (2499, 1666), (2499, 833), (2499, 0), (3332, 0), (4165, 0), (3332, 833), (2499, 1666), (3332, 1666), (3332, 833), (4165, 833), (4165, 1666), (3332, 833), (4165, 1666), (3332, 1666), (4165, 833), (4165, 0), (3332, 833), (2499, 0), (1666, 833), (2499, 1666)]
10	54	44	448539.6680024443	0.0	9	[(833, 833), (833, 0), (1666, 0), (1666, 833), (1666, 1666), (1666, 2499), (2499, 3332), (2499, 4165), (1666, 4165), (833, 3332), (0, 4165), (833, 4165), (1666, 4165), (2499, 4165), (1666, 3332), (2499, 3332), (2499, 2499), (2499, 1666), (2499, 2499), (1666, 3332), (1666, 2499), (2499, 2499), (1666, 3332), (1666, 4165), (1666, 3332), (1666, 2499), (2499, 2499), (2499, 3332), (2499, 4165), (2499, 3332), (1666, 4165), (2499, 4165), (1666, 3332), (833, 3332)]
