EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	6	48	73945.03733387649	0.0	5	[(833, 833), (833, 0), (1666, 0), (833, 833), (833, 1666), (1666, 1666)]
2	8	46	29308.918666938247	0.0	5	[(833, 833)]
3	10	44	95257.15600081475	0.0	5	[(0, 833), (833, 0), (1666, 833), (2499, 833), (2499, 0), (1666, 833), (1666, 1666)]
4	17	37	135740.95600081474	0.0	5	[(0, 833), (0, 1666), (833, 833), (833, 1666), (1666, 1666), (2499, 2499), (3332, 2499), (2499, 2499), (3332, 2499), (2499, 3332)]
5	26	28	308890.8240032589	0.0	5	[(0, 833), (833, 1666), (1666, 833), (1666, 0), (2499, 833), (3332, 833), (4165, 833), (3332, 0), (2499, 833), (1666, 833), (2499, 833), (1666, 0), (2499, 833), (1666, 1666), (2499, 2499), (1666, 2499), (2499, 3332), (3332, 2499), (3332, 1666), (2499, 1666), (1666, 1666), (833, 833), (833, 0)]
6	27	27	262114.2680024442	0.0	5	[(833, 833), (0, 1666), (833, 1666), (833, 2499), (833, 1666), (1666, 833), (833, 0), (1666, 0), (2499, 833), (3332, 1666), (2499, 1666), (1666, 833), (833, 1666), (0, 1666), (0, 833), (833, 0), (1666, 0), (1666, 833), (2499, 833)]
7	8	46	42483.0	0.0	5	[(833, 0), (0, 0), (833, 0)]
8	7	47	71458.71866693825	0.0	5	[(0, 833), (0, 0), (833, 0), (833, 833), (0, 1666), (0, 833)]
9	12	42	81454.71866693825	0.0	5	[(833, 0), (0, 0), (0, 833), (0, 1666), (833, 2499), (0, 2499)]
10	28	26	224167.51200162954	0.0	5	[(833, 833), (1666, 1666), (1666, 833), (833, 833), (1666, 1666), (833, 2499), (0, 3332), (833, 4165), (0, 4165), (833, 4165), (1666, 4165), (2499, 4165), (1666, 4165), (833, 4165), (0, 4165), (833, 4165)]
11	22	32	216799.06800244423	0.0	5	[(0, 833), (833, 0), (833, 833), (1666, 0), (1666, 833), (833, 0), (0, 833), (833, 0), (0, 0), (833, 833), (0, 1666), (833, 2499), (0, 2499), (833, 1666), (833, 2499)]
12	17	37	175545.67466775296	0.0	5	[(833, 833), (833, 1666), (0, 1666), (0, 2499), (833, 2499), (1666, 2499), (833, 2499), (833, 1666), (1666, 1666), (2499, 1666), (1666, 2499), (1666, 1666), (2499, 2499), (3332, 3332)]
13	10	43	112916.75600081473	0.0	5	[(0, 833), (833, 1666), (0, 1666), (833, 1666), (833, 833), (1666, 833), (833, 833), (1666, 1666), (2499, 2499)]
14	11	43	110571.67466775296	0.0	5	[(0, 833), (833, 833), (0, 833), (833, 0), (1666, 833), (1666, 0), (833, 833), (0, 0)]
15	28	25	259627.949335506	0.0	5	[(0, 833), (833, 0), (0, 833), (0, 1666), (0, 2499), (833, 3332), (1666, 4165), (1666, 3332), (2499, 3332), (1666, 2499), (833, 3332), (833, 4165), (0, 4165), (0, 3332), (0, 4165), (833, 3332), (0, 2499), (0, 3332), (833, 3332)]
16	12	42	72624.91866693823	0.0	5	[(833, 0), (1666, 0), (833, 0), (0, 833), (0, 1666)]
17	13	41	127744.15600081472	0.0	5	[(0, 833), (833, 0), (1666, 833), (833, 0), (833, 833), (1666, 833), (1666, 1666), (833, 1666), (0, 1666), (0, 2499)]
18	8	46	55798.31866693824	0.0	5	[(0, 833), (0, 1666), (833, 833), (0, 833)]
19	13	41	132370.91200162948	0.0	5	[(0, 833), (833, 1666), (1666, 833), (833, 0), (1666, 833), (1666, 0), (1666, 833), (833, 1666), (0, 2499)]
20	24	30	207340.91200162953	0.0	5	[(833, 833), (1666, 1666), (2499, 2499), (2499, 1666), (3332, 833), (4165, 0), (3332, 0), (4165, 0), (3332, 0), (4165, 0), (4165, 833), (3332, 0), (2499, 0), (1666, 0), (2499, 0)]
