EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	13	41	101254.75600081473	0.0	5	[(0, 833), (0, 0), (833, 0), (833, 833), (1666, 1666), (2499, 2499), (3332, 1666)]
2	13	41	145544.99333469121	0.0	5	[(833, 833), (0, 0), (0, 833), (833, 0), (0, 0), (833, 833), (833, 1666), (1666, 1666), (2499, 2499), (2499, 1666), (2499, 833)]
3	16	37	169202.19333469123	0.0	5	[(833, 0), (0, 833), (833, 833), (1666, 1666), (833, 833), (1666, 833), (1666, 0), (833, 0), (833, 833), (833, 0), (1666, 833), (2499, 833), (3332, 1666)]
4	54	1	479655.82400325895	0.0	5	[(833, 833), (833, 1666), (833, 2499), (1666, 2499), (2499, 2499), (1666, 1666), (833, 1666), (0, 833), (833, 833), (833, 0), (1666, 0), (833, 833), (833, 1666), (0, 1666), (833, 833), (1666, 0), (833, 833), (0, 0), (833, 833), (833, 0), (833, 833), (1666, 0), (1666, 833), (2499, 0), (2499, 833), (2499, 0), (2499, 833), (2499, 1666), (3332, 1666), (2499, 1666), (2499, 2499), (1666, 2499), (1666, 3332), (833, 3332), (1666, 2499), (1666, 1666)]
5	32	22	276595.78666938253	0.0	5	[(0, 833), (833, 0), (1666, 0), (2499, 833), (1666, 1666), (833, 833), (833, 1666), (0, 1666), (833, 2499), (833, 1666), (833, 2499), (1666, 3332), (833, 3332), (833, 4165), (0, 3332), (0, 2499), (833, 3332), (0, 4165), (833, 3332)]
6	42	13	327562.7053363207	0.0	5	[(833, 0), (1666, 833), (1666, 0), (833, 0), (0, 0), (833, 833), (0, 0), (833, 833), (0, 0), (833, 0), (1666, 833), (2499, 0), (1666, 0), (833, 0), (1666, 0), (833, 833), (0, 0), (0, 833), (833, 833), (0, 0), (0, 833), (833, 0)]
7	35	19	379721.18666938244	0.0	5	[(0, 833), (0, 1666), (833, 1666), (1666, 1666), (1666, 833), (833, 833), (1666, 0), (833, 0), (1666, 833), (2499, 833), (3332, 0), (3332, 833), (3332, 1666), (3332, 2499), (2499, 3332), (2499, 2499), (1666, 1666), (1666, 833), (2499, 1666), (2499, 2499), (3332, 2499), (2499, 1666), (1666, 2499), (2499, 2499), (2499, 1666), (1666, 833), (1666, 1666), (2499, 1666), (2499, 833), (1666, 0)]
8	18	36	191001.43066856771	0.0	5	[(833, 833), (0, 1666), (833, 1666), (833, 833), (1666, 1666), (1666, 833), (833, 833), (0, 1666), (833, 2499), (1666, 2499), (2499, 2499), (1666, 1666), (1666, 2499), (2499, 3332)]
9	14	40	129884.59333469119	0.0	5	[(833, 833), (1666, 833), (2499, 833), (2499, 1666), (1666, 2499), (2499, 3332), (2499, 4165), (1666, 3332), (2499, 2499)]
10	11	42	137202.31200162944	0.0	5	[(833, 833), (1666, 833), (1666, 1666), (2499, 833), (3332, 1666), (2499, 1666), (1666, 2499), (833, 1666), (1666, 2499), (1666, 3332)]
11	54	-10	550717.9360048885	0.0	4	[(0, 833), (0, 0), (0, 833), (833, 833), (1666, 0), (2499, 833), (3332, 1666), (4165, 833), (4165, 1666), (3332, 833), (2499, 1666), (1666, 2499), (2499, 3332), (3332, 3332), (3332, 2499), (4165, 2499), (3332, 3332), (3332, 4165), (3332, 3332), (4165, 4165), (3332, 3332), (3332, 2499), (4165, 1666), (3332, 1666), (2499, 1666), (3332, 833), (2499, 833), (2499, 0), (2499, 833), (3332, 833), (4165, 833), (4165, 0), (4165, 833), (3332, 0), (2499, 0), (3332, 0), (4165, 833), (3332, 1666), (2499, 2499), (3332, 2499), (2499, 3332)]
12	54	-11	541888.1360048886	0.0	4	[(0, 833), (0, 1666), (833, 833), (0, 833), (833, 1666), (0, 833), (833, 833), (0, 0), (0, 833), (0, 0), (833, 0), (833, 833), (1666, 0), (2499, 0), (1666, 833), (833, 0), (0, 0), (0, 833), (833, 0), (0, 833), (833, 1666), (1666, 1666), (833, 833), (0, 1666), (833, 1666), (833, 833), (833, 1666), (1666, 1666), (2499, 2499), (1666, 2499), (833, 3332), (833, 2499), (0, 2499), (0, 3332), (833, 3332), (1666, 2499), (833, 1666), (1666, 2499), (1666, 3332), (2499, 2499)]
13	39	16	277133.6306685678	0.0	5	[(0, 833), (0, 0), (833, 0), (1666, 0), (833, 0), (0, 0), (833, 833), (0, 833), (0, 1666), (0, 833), (833, 0), (0, 833), (833, 0), (1666, 0), (2499, 0), (1666, 833), (2499, 0), (3332, 0), (4165, 833)]
14	7	46	58284.63733387649	0.0	5	[(833, 833), (833, 1666), (1666, 1666), (2499, 2499)]
15	54	-11	457369.4680024443	0.0	4	[(833, 0), (1666, 0), (1666, 833), (833, 833), (1666, 833), (833, 833), (0, 0), (833, 0), (1666, 0), (1666, 833), (1666, 0), (833, 833), (1666, 0), (1666, 833), (833, 0), (1666, 833), (2499, 833), (3332, 833), (2499, 0), (1666, 0), (2499, 0), (1666, 0), (833, 0), (833, 833), (833, 0), (1666, 0), (2499, 833), (2499, 0), (1666, 0), (833, 833), (833, 0), (0, 0), (833, 833), (833, 0), (1666, 0)]
16	54	-10	471108.4986710121	0.0	4	[(833, 0), (1666, 833), (2499, 1666), (3332, 2499), (2499, 3332), (1666, 4165), (2499, 3332), (3332, 2499), (3332, 1666), (2499, 1666), (2499, 2499), (1666, 3332), (1666, 2499), (833, 2499), (1666, 2499), (1666, 1666), (2499, 1666), (1666, 833), (833, 0), (0, 0), (833, 833), (833, 0), (833, 833), (1666, 1666), (833, 2499), (1666, 3332), (833, 2499), (1666, 3332), (2499, 3332), (2499, 4165), (3332, 4165), (4165, 4165), (4165, 3332)]
