EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	4	18	15579.33051151313	0.0	2	[(333, 0), (666, 0), (333, 333)]
2	18	-7	42736.92204605252	0.0	1	[(333, 333), (666, 666), (333, 333), (666, 333), (333, 666), (666, 666)]
3	18	-18	14385.600000000004	0.0	0	[]
4	18	-7	55062.99153453937	0.0	1	[(0, 333), (333, 333), (666, 666), (666, 333), (333, 333), (666, 0), (333, 0), (0, 0), (333, 333), (333, 0)]
5	18	-7	33827.73051151313	0.0	1	[(333, 0), (0, 0), (333, 0), (666, 333), (333, 333)]
6	18	-7	40887.33051151312	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (0, 0), (0, 333), (0, 0)]
7	18	-7	58592.79153453936	0.0	1	[(0, 333), (333, 0), (666, 333), (666, 666), (333, 666), (0, 666), (0, 333), (333, 666), (666, 666), (333, 666), (666, 666)]
8	18	-7	51476.73051151312	0.0	1	[(0, 333), (0, 666), (333, 666), (0, 666), (333, 333), (333, 666), (666, 666), (333, 666), (666, 666), (666, 333)]
9	18	-7	42680.46102302624	0.0	1	[(0, 333), (0, 666), (333, 666), (0, 666), (333, 333), (666, 666), (666, 333)]
10	18	-7	35620.86102302626	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (333, 666)]
11	18	-7	39150.661023026245	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (333, 666), (666, 666)]
12	18	-7	33827.73051151313	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (0, 0)]
13	18	-18	33827.73051151313	0.0	0	[(0, 333), (333, 666), (0, 666), (0, 333), (0, 0)]
14	18	-7	39150.661023026245	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (333, 666), (666, 666)]
15	18	-18	42680.46102302623	0.0	0	[(0, 333), (333, 666), (666, 333), (666, 666), (333, 666), (666, 666), (333, 666)]
16	18	-7	39150.661023026245	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (333, 666), (666, 666)]
17	18	-18	33827.73051151313	0.0	0	[(0, 333), (333, 666), (0, 666), (0, 333), (0, 0)]
18	18	-7	47946.930511513114	0.0	1	[(333, 0), (333, 333), (333, 666), (0, 666), (333, 333), (666, 333), (666, 666), (333, 666), (666, 666)]
19	18	-7	33827.73051151313	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (0, 0)]
20	18	-7	39150.661023026245	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (333, 666), (666, 666)]
21	18	-7	39150.661023026245	0.0	1	[(0, 333), (333, 666), (0, 666), (0, 333), (333, 666), (666, 666)]
