EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	4	87	80.80000000000001	0.0	10
2	25	41.0	920.434631460406	0.0	10
3	21	-8.0	796.5564209736041	0.0	10
4	15	17.0	420.617315730203	0.0	10
5	3	72.0	71.2	0.0	10
6	1	90	52.0	0.0	10
7	16	75	535.878210486802	0.0	10
8	12	37.0	434.2173157302029	0.0	10
9	5	86	154.33910524340098	0.0	10
10	6	85	163.93910524340095	0.0	10
11	37	55	1227.4519471906087	0.0	10
12	3	88	199.0782104868019	0.0	10
13	4	26.0	144.73910524340096	0.0	10
14	1	90	52.0	0.0	10
15	14	26.0	601.478210486802	0.0	10
16	11	80	424.6173157302029	0.0	10
17	46	-36.0	1631.5128419472073	0.0	9
18	22	1.0	700.4955262170049	0.0	10
19	5	18.0	90.4	0.0	10
20	18	6.0	555.078210486802	0.0	10
21	46	-42.0	1887.9474734076125	0.0	4
22	1	90	52.0	0.0	10
23	23	68	836.6173157302029	0.0	10
24	7	69.0	300.73910524340096	0.0	10
25	5	86	90.4	0.0	10
26	6	77.0	206.33910524340095	0.0	10
27	6	5.0	57.60000000000001	0.0	10
28	1	90	52.0	0.0	10
29	7	84	301.41731573020286	0.0	10
30	30	63	926.034631460406	0.0	10
31	8	6.0	119.19999999999999	0.0	10
32	1	90	52.0	0.0	10
33	8	15.0	119.20000000000002	0.0	10
34	4	80.0	208.6782104868019	0.0	10
35	42	51	1572.2519471906085	0.0	10
36	6	85	163.93910524340095	0.0	10
37	12	62.0	539.878210486802	0.0	10
38	2	89	125.53910524340095	0.0	10
39	23	16.0	730.956420973604	0.0	10
40	11	63.0	510.0955262170049	0.0	10
41	1	90	52.0	0.0	10
42	29	55.0	1022.095526217005	0.0	10
43	1	90	52.0	0.0	10
44	46	16	1589.1128419472068	0.0	7
45	29	48.0	1277.8519471906086	0.0	10
46	32	44.0	901.4782104868024	0.0	10
47	7	84	194.4	0.0	10
48	1	90	52.0	0.0	10
49	1	90	52.0	0.0	10
50	7	31.0	237.47821048680188	0.0	10
51	3	9.0	28.800000000000004	0.0	10
52	2	81.0	61.6	0.0	10
53	35	4.0	1122.773736703807	0.0	10
54	1	90	52.0	0.0	10
55	1	90	52.0	0.0	10
56	12	10.0	199.99999999999997	0.0	10
57	5	87	175.2	0.0	10
58	1	90	52.0	0.0	10
59	27	47.0	578.2173157302033	0.0	10
60	46	12.0	1504.9910524340091	0.0	9
61	4	52.0	144.73910524340096	0.0	10
62	46	-21.0	1249.9128419472074	0.0	6
63	4	44.0	80.80000000000001	0.0	10
64	14	52.0	602.1564209736039	0.0	10
65	27	15.0	833.2955262170051	0.0	10
66	1	90	52.0	0.0	10
67	25	-13.0	579.8782104868021	0.0	10
68	11	81	360.6782104868019	0.0	10
69	5	86	90.4	0.0	10
70	6	70.0	312.6782104868019	0.0	10
71	3	88	71.2	0.0	10
72	31	44.0	956.4955262170051	0.0	10
73	3	80.0	135.13910524340096	0.0	10
74	5	86	239.13910524340093	0.0	10
75	34	59	1580.9301576774099	0.0	10
76	1	90	52.0	0.0	10
77	3	45.0	71.2	0.0	10
78	37	12.0	1312.2519471906085	0.0	10
79	2	89	61.6	0.0	10
80	41	34.0	1201.234631460405	0.0	10
