EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	50	36	2309.9821048680174	0.0	8
2	50	-39	2180.747473407613	0.0	1
3	50	36	2137.66926292081	0.0	8
4	50	45	2010.4692629208098	0.0	9
5	48	58	1672.251947190608	0.0	10
6	50	14	2073.73015767741	0.0	6
7	50	15	2159.208368164211	0.0	6
8	50	-19	1797.7910524340086	0.0	3
9	50	24	1988.2519471906078	0.0	7
10	50	-19	1649.7301576774096	0.0	3
11	50	33	2307.9474734076125	0.0	8
12	50	48	2012.5038943812158	0.0	9
13	50	45	2458.7212101114196	0.0	9
14	50	45	2671.3994205982217	0.0	9
15	50	45	2181.4256838944143	0.0	9
16	50	14	2096.625683894414	0.0	6
17	50	14	1925.6692629208103	0.0	6
18	50	23	1967.391052434009	0.0	7
19	50	36	2245.364789137815	0.0	8
20	50	13	2202.9647891378154	0.0	6
21	50	13	2351.703894381216	0.0	6
22	31	74	1551.451947190608	0.0	10
23	50	13	1990.2865786510129	0.0	6
24	27	79	1216.9301576774105	0.0	10
25	50	13	2095.26926292081	0.0	6
26	50	34	2819.46031535482	0.0	8
27	50	-8	1628.1910524340085	0.0	4
28	50	-7	2032.6865786510127	0.0	4
29	50	34	1968.7474734076113	0.0	8
30	50	45	2266.2256838944136	0.0	9
31	50	-8	2010.46926292081	0.0	4
32	50	13	2202.964789137815	0.0	6
33	50	22	2308.625683894414	0.0	7
34	50	14	2414.2865786510133	0.0	6
35	50	34	2139.0256838944138	0.0	8
36	50	43	2158.5301576774095	0.0	9
37	50	24	2139.0256838944133	0.0	7
38	50	35	2286.408368164212	0.0	8
39	50	24	2032.008368164211	0.0	7
40	50	23	2287.7647891378147	0.0	7
41	50	25	2396.1385258416212	0.0	7
42	50	36	1966.7128419472067	0.0	8
43	32	73	1497.112841947207	0.0	10
44	50	23	2159.886578651013	0.0	7
45	50	24	1627.5128419472073	0.0	7
46	50	35	1988.2519471906082	0.0	8
47	50	14	2308.6256838944137	0.0	6
48	50	45	2265.547473407612	0.0	9
49	50	23	2096.6256838944137	0.0	7
50	50	14	1882.5910524340093	0.0	6
51	50	36	2180.06926292081	0.0	8
52	50	25	2223.825683894414	0.0	7
53	30	74	1479.2692629208113	0.0	10
54	50	3	2117.4865786510127	0.0	5
55	50	23	1563.5737367038064	0.0	7
56	50	23	2180.06926292081	0.0	7
57	50	13	2202.286578651013	0.0	6
58	50	-7	2202.286578651013	0.0	4
59	50	22	1860.373736703806	0.0	7
60	50	24	2115.4519471906083	0.0	7
61	50	36	1968.7474734076125	0.0	8
62	50	14	1734.5301576774093	0.0	6
63	50	24	1649.0519471906077	0.0	7
64	50	35	1798.4692629208098	0.0	8
65	50	46	1925.66926292081	0.0	9
66	40	67	1744.8692629208103	0.0	10
67	50	35	2202.964789137815	0.0	8
68	50	23	2285.73015767741	0.0	7
69	50	23	2116.13015767741	0.0	7
70	50	25	1967.3910524340083	0.0	7
71	50	35	1692.1301576774092	0.0	8
72	50	35	1924.312841947206	0.0	8
73	50	-8	1988.9301576774099	0.0	4
74	50	14	1882.5910524340086	0.0	6
75	49	56	2321.2429996246174	0.0	10
76	37	67	1609.051947190608	0.0	10
77	50	12	2286.408368164212	0.0	6
78	26	78	1440.869262920811	0.0	10
79	35	72	1420.9301576774099	0.0	10
80	34	71	1559.391052434009	0.0	10
81	50	22	2159.2083681642107	0.0	7
82	50	35	2033.3647891378148	0.0	8
83	50	34	2649.1821048680185	0.0	8
84	32	73	1136.373736703807	0.0	10
85	37	69	1588.8692629208108	0.0	10
86	30	74	1223.5128419472073	0.0	10
87	50	34	1863.0865786510124	0.0	8
88	50	55	2032.008368164211	0.0	10
89	50	43	2243.3301576774093	0.0	9
90	50	45	1733.8519471906072	0.0	9
91	50	45	2266.225683894414	0.0	9
92	35	71	1632.251947190608	0.0	10
93	33	72	1357.2955262170046	0.0	10
94	50	44	2202.286578651013	0.0	9
95	50	47	2202.286578651013	0.0	9
96	23	81	1134.7737367038067	0.0	10
97	50	12	1883.9474734076127	0.0	6
98	44	63	2294.7821048680175	0.0	10
99	42	64	1784.9301576774092	0.0	10
100	41	67	1733.608368164211	0.0	10
101	50	15	2413.608368164212	0.0	6
102	50	46	1628.191052434008	0.0	9
103	50	22	2096.6256838944137	0.0	7
104	50	13	1968.747473407612	0.0	6
