EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	54	-12	2197.608368164212	0.0	4
2	54	11	2349.0603153548195	0.0	6
3	54	18	2132.9910524340085	0.0	7
4	54	39	2539.5212101114194	0.0	9
5	54	-11	2729.9821048680187	0.0	4
6	54	-13	2816.1385258416226	0.0	4
7	54	30	2113.4865786510127	0.0	8
8	42	62	1955.886578651013	0.0	10
9	54	-23	2028.6865786510134	0.0	3
10	54	31	2325.486578651013	0.0	8
11	54	-33	2431.8256838944144	0.0	2
12	54	-12	2624.321210111419	0.0	4
13	54	-22	2389.4256838944143	0.0	3
14	54	-12	2431.825683894414	0.0	4
15	54	-1	2283.7647891378156	0.0	5
16	54	-22	2581.242999624618	0.0	3
17	54	10	2793.92121011142	0.0	6
18	54	-1	2603.46031535482	0.0	5
19	54	-54	1964.7474734076118	0.0	0
20	54	-11	2559.703894381216	0.0	4
21	54	-2	1962.7128419472065	0.0	5
22	54	-2	1856.3737367038052	0.0	5
23	54	-1	2177.425683894414	0.0	5
24	54	-23	1517.8519471906084	0.0	3
25	54	0	2390.103894381216	0.0	5
26	54	9	2603.4603153548205	0.0	6
27	54	-1	2218.4692629208103	0.0	5
28	54	-12	2132.9910524340085	0.0	4
29	54	40	2005.791052434008	0.0	9
30	54	-12	2346.3474734076126	0.0	4
31	54	41	2474.903894381216	0.0	9
32	54	-13	2708.4429996246176	0.0	4
33	52	52	2455.025683894414	0.0	10
34	50	55	2501.121210111419	0.0	10
35	54	9	2687.582104868018	0.0	6
36	28	76	1056.2519471906087	0.0	10
37	54	-13	2155.208368164211	0.0	4
38	54	-2	2751.521210111419	0.0	5
39	54	39	2198.9647891378145	0.0	9
40	54	39	2324.808368164211	0.0	9
41	54	-2	2133.6692629208096	0.0	5
42	54	-23	2752.1994205982214	0.0	3
43	54	-2	2602.782104868018	0.0	5
44	54	-54	2345.66926292081	0.0	0
45	54	-13	2707.7647891378156	0.0	4
46	54	-2	2558.3474734076126	0.0	5
47	54	39	2388.7474734076127	0.0	9
48	54	-2	2028.6865786510136	0.0	5
49	51	54	2701.1821048680185	0.0	10
50	54	-13	2772.382104868019	0.0	4
51	54	-1	2538.8429996246177	0.0	5
52	54	-12	2559.703894381217	0.0	4
53	54	9	2602.103894381217	0.0	6
54	54	-43	2282.4083681642105	0.0	1
55	54	-32	2091.2692629208095	0.0	2
56	54	-11	2027.330157677409	0.0	4
