EpNum	EpSteps	Reward	ener	dist	NumCovTargets
1	36	8	315567.50533632067	0.0	4
2	36	-3	284451.34933550603	0.0	3
3	36	30	328882.82400325895	0.0	6
4	36	-3	315567.5053363207	0.0	3
5	36	-3	297484.19333469134	0.0	3
6	36	-3	346542.424003259	0.0	3
7	36	-3	293281.14933550596	0.0	3
8	36	30	413260.2546718266	0.0	6
9	36	-3	328600.349335506	0.0	3
10	36	19	390832.6613371354	0.0	5
11	36	19	297766.6680024442	0.0	5
12	36	-3	337571.3866693825	0.0	3
13	36	19	355372.224003259	0.0	5
14	36	41	337571.3866693825	0.0	7
15	36	30	364343.26133713545	0.0	6
16	36	-3	284592.58666938246	0.0	3
17	36	8	333368.34267019713	0.0	4
18	36	-3	386488.38000407367	0.0	3
19	36	41	342056.90533632075	0.0	7
20	36	-14	240019.87466775312	0.0	2
21	36	-3	275621.54933550605	0.0	3
22	36	19	395318.1800040737	0.0	5
23	36	30	293422.38666938245	0.0	6
24	36	-14	284592.5866693825	0.0	2
25	36	-14	306737.70533632074	0.0	2
26	36	-3	306455.23066856776	0.0	3
27	36	-14	266650.5120016295	0.0	2
28	36	-3	364343.2613371354	0.0	3
29	36	8	435405.3733387648	0.0	4
30	36	-3	328741.58666938246	0.0	3
31	36	8	373173.06133713544	0.0	4
32	36	-14	346542.42400325893	0.0	2
33	36	-3	262164.99333469133	0.0	3
34	36	-3	351027.9426701972	0.0	3
35	36	-3	342056.90533632075	0.0	3
36	36	-3	257679.47466775303	0.0	3
37	36	-3	315426.2680024442	0.0	3
38	36	8	315426.2680024443	0.0	4
39	36	-3	350886.7053363207	0.0	3
40	36	19	328741.58666938246	0.0	5
41	36	-3	222360.27466775302	0.0	3
42	36	19	404147.98000407364	0.0	5
43	36	-3	408633.4986710119	0.0	3
44	36	52	350886.70533632074	0.0	8
45	36	8	364202.024003259	0.0	4
46	36	-3	364060.7866693824	0.0	3
47	36	-3	346542.424003259	0.0	3
48	36	-3	240161.11200162952	0.0	3
49	36	30	293281.14933550596	0.0	6
50	36	-3	293139.91200162953	0.0	3
51	36	-3	257820.71200162946	0.0	3
52	36	8	421948.8173379501	0.0	4
53	36	-14	266368.0373338766	0.0	2
54	36	30	319770.549335506	0.0	6
55	36	8	382285.33600488835	0.0	4
56	36	19	275339.07466775307	0.0	5
57	36	30	320053.02400325896	0.0	6
58	36	19	368546.30533632066	0.0	5
59	36	8	279965.83066856785	0.0	4
60	36	30	421666.34267019713	0.0	6
61	36	-3	386205.9053363207	0.0	3
62	36	-14	342056.9053363207	0.0	2
63	36	8	364343.26133713545	0.0	4
64	36	19	293139.9120016295	0.0	5
65	36	8	381720.38666938245	0.0	4
66	36	-3	279965.83066856774	0.0	3
67	36	-3	284451.349335506	0.0	3
68	36	19	399521.2240032589	0.0	5
69	36	19	226845.79333469132	0.0	5
70	36	-3	355513.4613371354	0.0	3
71	36	30	399662.46133713546	0.0	6
72	36	8	297766.66800244414	0.0	4
73	36	19	364343.2613371354	0.0	5
74	36	8	408492.26133713545	0.0	4
75	36	8	293422.38666938257	0.0	4
76	36	8	293563.624003259	0.0	4
77	36	41	328741.58666938246	0.0	7
78	36	8	319911.78666938253	0.0	4
79	36	-14	266650.5120016295	0.0	2
80	36	8	377658.5800040737	0.0	4
81	36	8	297766.6680024442	0.0	4
82	36	-3	248849.67466775302	0.0	3
83	36	-3	306596.4680024442	0.0	3
84	36	30	320053.02400325896	0.0	6
85	36	30	404147.98000407364	0.0	6
86	36	-3	262447.4680024443	0.0	3
87	36	19	333368.34267019725	0.0	5
88	36	-3	306737.70533632074	0.0	3
89	36	-3	160269.19999999998	0.0	3
90	36	30	302252.1866693825	0.0	6
91	36	-3	319770.54933550593	0.0	3
92	36	8	262164.9933346913	0.0	4
93	36	19	377376.1053363207	0.0	5
94	36	-3	284451.3493355059	0.0	3
95	36	8	324114.8306685678	0.0	4
96	36	-3	222219.03733387662	0.0	3
97	36	8	364060.7866693825	0.0	4
98	36	19	253617.6680024442	0.0	5
99	36	8	266791.74933550606	0.0	4
100	36	8	310799.51200162945	0.0	4
101	36	8	319911.78666938253	0.0	4
102	36	8	240161.1120016296	0.0	4
103	36	41	333085.8680024442	0.0	7
104	36	8	346683.66133713536	0.0	4
105	36	19	368405.0680024442	0.0	5
106	36	-3	293281.1493355059	0.0	3
107	36	19	382002.8613371354	0.0	5
108	36	8	333368.34267019713	0.0	4
109	36	-3	257820.71200162958	0.0	3
110	36	-14	155924.91866693835	0.0	2
111	36	8	337430.149335506	0.0	4
112	36	19	346401.18666938244	0.0	5
113	36	8	271277.26800244424	0.0	4
114	36	41	359575.26800244424	0.0	7
115	36	30	275480.31200162956	0.0	6
116	36	52	310940.74933550606	0.0	8
117	36	-3	306878.9426701972	0.0	3
118	36	19	275621.54933550605	0.0	5
119	36	-3	257820.71200162944	0.0	3
120	36	19	297625.4306685678	0.0	5
121	36	-3	226704.55600081483	0.0	3
122	36	30	382002.86133713543	0.0	6
123	36	30	324397.3053363208	0.0	6
124	36	30	368546.3053363207	0.0	6
125	36	19	270994.7933346913	0.0	5
126	36	19	302110.949335506	0.0	5
127	36	-14	217874.7560008148	0.0	2
128	36	8	218015.99333469121	0.0	4
129	36	8	288654.3933346913	0.0	4
130	36	30	240161.11200162966	0.0	6
131	36	8	328741.58666938246	0.0	4
132	36	-14	311223.22400325903	0.0	2
133	36	30	350745.4680024442	0.0	6
134	36	30	355230.98666938243	0.0	6
135	36	19	262306.2306685677	0.0	5
136	36	19	279824.59333469137	0.0	5
137	36	-25	328741.5866693824	0.0	1
138	36	19	262164.9933346913	0.0	5
139	36	8	226704.55600081483	0.0	4
140	36	8	346683.66133713553	0.0	4
141	36	8	311081.98666938255	0.0	4
142	36	8	284592.5866693825	0.0	4
143	36	-3	306313.9933346912	0.0	3
144	36	19	222501.5120016295	0.0	5
145	36	8	280107.0680024441	0.0	4
146	36	8	297625.43066856783	0.0	4
147	36	30	248990.91200162953	0.0	6
148	36	30	310940.74933550594	0.0	6
149	36	8	213671.7120016296	0.0	4
150	36	30	324114.83066856774	0.0	6
151	36	19	333227.10533632076	0.0	5
152	36	19	319911.7866693825	0.0	5
153	36	52	350886.7053363207	0.0	8
154	36	-3	342198.14267019724	0.0	3
155	36	30	385923.4306685677	0.0	6
156	36	19	218298.46800244425	0.0	5
157	36	19	271136.03066856787	0.0	5
158	36	19	266650.51200162957	0.0	5
159	36	-25	293563.62400325906	0.0	1
160	36	19	341774.4306685678	0.0	5
161	36	30	297766.66800244426	0.0	6
162	36	19	337571.38666938257	0.0	5
163	36	30	302110.94933550595	0.0	6
164	36	-3	288936.86800244433	0.0	3
165	36	41	332944.63066856767	0.0	7
166	36	30	306455.23066856776	0.0	6
167	36	8	302110.94933550595	0.0	4
168	36	41	293281.149335506	0.0	7
169	36	30	320194.26133713557	0.0	6
170	36	30	284310.11200162955	0.0	6
171	36	8	355372.2240032589	0.0	4
172	36	63	324114.83066856774	0.0	9
173	36	30	266791.74933550606	0.0	6
174	36	19	315426.2680024443	0.0	5
175	36	30	302252.18666938256	0.0	6
176	36	30	368405.0680024442	0.0	6
177	36	30	329024.0613371355	0.0	6
178	36	30	253476.43066856774	0.0	6
179	36	19	297625.43066856783	0.0	5
180	36	19	404006.7426701971	0.0	5
181	36	19	364202.0240032589	0.0	5
182	36	30	319911.78666938253	0.0	6
183	36	30	284310.1120016295	0.0	6
184	36	8	333085.86800244416	0.0	4
185	36	30	288654.3933346912	0.0	6
186	36	30	395176.9426701971	0.0	6
187	36	8	404289.21733795013	0.0	4
188	36	30	262306.2306685677	0.0	6
189	36	41	297766.66800244426	0.0	7
190	36	19	359998.9800040737	0.0	5
191	36	-14	417745.77333876485	0.0	2
192	36	30	293139.91200162953	0.0	6
193	36	41	346542.424003259	0.0	7
194	36	30	213812.9493355061	0.0	6
195	36	52	315285.0306685677	0.0	8
196	36	41	324397.30533632083	0.0	7
197	36	52	297484.1933346913	0.0	8
198	36	19	324256.0680024443	0.0	5
199	36	19	288795.6306685678	0.0	5
200	36	30	311081.98666938255	0.0	6
201	36	63	319770.54933550605	0.0	9
202	36	19	377941.0546718266	0.0	5
203	36	52	226845.79333469132	0.0	8
204	36	52	306455.23066856776	0.0	8
205	36	30	355513.4613371354	0.0	6
206	36	52	332944.6306685677	0.0	8
207	36	52	284451.34933550603	0.0	8
208	36	52	302110.94933550607	0.0	8
209	36	41	342339.3800040738	0.0	7
210	36	52	332944.6306685678	0.0	8
211	36	30	218157.2306685678	0.0	6
212	36	41	404006.74267019716	0.0	7
213	36	8	400086.1733387648	0.0	4
214	36	30	301828.47466775303	0.0	6
215	36	30	342056.9053363207	0.0	6
216	36	63	372749.349335506	0.0	9
217	36	30	359857.7426701972	0.0	6
218	36	30	306455.2306685678	0.0	6
219	36	8	412836.5426701972	0.0	4
220	36	-3	280107.0680024443	0.0	3
221	36	41	297625.4306685678	0.0	7
222	36	30	244646.63066856784	0.0	6
223	36	52	293139.91200162953	0.0	8
224	36	30	319911.78666938253	0.0	6
225	36	52	253476.4306685679	0.0	8
226	36	30	310940.74933550606	0.0	6
